Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Volkswagen,Vento,1200000,1993,Талгар,седан,1.8,автомат,,передний привод,слева,,Да
Mitsubishi,Pajero,3200000,1995,Конаев (Капшагай),внедорожник,2.8,автомат,,полный привод,слева,,Да
Mitsubishi,L300,1600000,1995,Алматы,минивэн,2.5,механика,,полный привод,слева,серый,Да
Land Rover,Range Rover Sport,36000000,2016,Алматы,внедорожник,3.0,автомат,34000.0,полный привод,слева,белый,Да
Toyota,Cresta,1750000,1996,Алматы,седан,2.0,автомат,,задний привод,справа,серебристый,Да
Honda,Odyssey,5000000,2002,Чунджа,минивэн,3.0,автомат,,передний привод,справа,,Да
Volkswagen,Multivan,6700000,2005,Алматы,минивэн,2.5,автомат,290000.0,передний привод,слева,серебристый металлик,Да
Hyundai,Sonata,15100000,2022,Алматы,седан,1.6,автомат,52000.0,передний привод,слева,,Да
Mercedes-Benz,E 200,1900000,1993,Алматы,седан,2.0,автомат,,задний привод,слева,,Да
Subaru,Forester,6200000,2007,Алматы,кроссовер,2.0,автомат,253000.0,полный привод,слева,серый металлик,Да
Subaru,Legacy,1300000,1990,Алматы,седан,2.2,автомат,,полный привод,слева,серебристый,Да
BMW,X5,6500000,2003,Алматы,кроссовер,3.0,автомат,,полный привод,слева,черный металлик,Да
Mercedes-Benz,GLA 200,10589000,2014,Алматы,кроссовер,1.6,автомат,104750.0,передний привод,слева,черный,Да
BMW,323,3000000,2000,Алматы,седан,2.5,автомат,,задний привод,слева,,Да
Volkswagen,Golf,3000000,1994,Алматы,хэтчбек,2.0,автомат,,передний привод,слева,серебристый металлик,Да
ЗАЗ,Chance,1100000,2011,Алматы,седан,1.5,механика,250000.0,передний привод,слева,,Да
Toyota,Corolla,10500000,2019,Алматы,седан,1.6,автомат,115000.0,передний привод,слева,черный,Да
Mercedes-Benz,Sprinter,12000000,2009,Алматы,фургон,3.0,механика,,задний привод,слева,белый,Да
Daewoo,Nexia,1100000,2010,Алматы,седан,1.5,механика,,передний привод,слева,,Да
Hyundai,Santa Fe,16500000,2021,Алматы,кроссовер,2.5,автомат,32000.0,полный привод,слева,серый металлик,Да
Toyota,RAV 4,14800000,2018,Алматы,кроссовер,2.5,автомат,60000.0,полный привод,слева,серый,Да
Lexus,LX 570,43500000,2017,Алматы,внедорожник,5.7,автомат,,полный привод,слева,черный металлик,Да
